题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
如图所示，甲、乙两船在同一条河流中同时开始渡河，河宽为H，河水流速为u，划船速度均为v，出发时两船相距  ，甲、乙船头均与岸边成60°角，且乙船恰好能直达对岸的A点，则下列判断正确的是（ ）,甲、乙两船到达对岸的时间不同,两船可能在未到达对岸前相遇,甲船在A点右侧靠岸,甲船也在A点靠岸,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ddc5558b222b66f2493f1991bd5f_4394818ex.png,66f2493f1991bd5f_4394818ex.png,,,,,
下面说法中正确的是(　　),做曲线运动的物体，其速度方向必定变化,速度变化的运动必定是曲线运动,加速度恒定的运动不可能是曲线运动,加速度变化的运动必定是曲线运动,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f3bb858a3bc336d115e3d291e40e_1023341ex.png,36d115e3d291e40e_1023341ex.png,,,,,
一轮船以一定的速度垂直河流向对岸行驶，当河水匀速流动时，轮船所通过的路程、过河所用的时间与水流速度的正确关系是（ ）,水速越大，路程越长，时间越长,水速越大，路程越短，时间越短,水速越大，路程和时间都不变,水速越大，路程越长，时间不变,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d27218fcd82f33fab1e2a2a152a2_3926553ex.png,33fab1e2a2a152a2_3926553ex.png,,,,,
游泳运动员以恒定的速率垂直于河岸渡河，当水速突然变大时，对运动员渡河时间和经 历的路程产生的影响是( ),路程变大，时间延长,路程变大，时间不变,路程变大，时间缩短,路程和时间均不变,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4283a9c5ea99cc67ef35d8048484_10242682ex.png,c67ef35d8048484_10242682ex.png,,,,,
已知河水的流速为v1  ， 小船在静水中的速度为v2  ， 且v2＞v1  ， 用小箭头表示小船，箭头指向表示船头的指向，则能正确反映小船以最短时间渡河．以最短位移渡河的情景图示依次是（ ）,①②,④⑤,①⑤,②③,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0b02fa105e691a15035389c00d53_4705818ex.png,1a15035389c00d53_4705818ex.png,,,,,
如图所示，红蜡块可以在竖直玻璃管内的水中匀速上升，速度为v  ， 若在红蜡块从A点开始匀速上升的同时，玻璃管从AB位置由静止开始水平向右做匀加速直线运动，加速度大小为a  ， 则红蜡块的实际运动轨迹可能是图中的（ ）,曲线Q,直线P,曲线R,无法确定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/21c0a1bc6a833db73106ce39b819_7984107ex.png,3db73106ce39b819_7984107ex.png,,,,,
某人以一定的速率垂直于河岸向对岸游去，当河水是匀速运动时，人所游过的路程、过河的时间与水速的关系是（ ）,水速大时，路程长，时间短,水速大时，路程长，时间不变,水速大时，路程长，时间长,水速、路程与时间无关,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/48ce6ce170f0579b2a158f45ae87_5564781ex.png,579b2a158f45ae87_5564781ex.png,,,,,
下列说法正确的是( ),合运动和分运动互相影响，不能独立进行,合运动的时间一定比分运动的时间长,合运动和分运动具有等时性，即同时开始、同时结束,合运动的位移大小等于两个分运动位移大小之和,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bf463b6c8eca77863c6e5af2d4e5_11148866ex.png,7863c6e5af2d4e5_11148866ex.png,,,,,
如图所示，物体A和B的质量均为m，且分别与跨过定滑轮的轻绳连接（不计绳与滑轮、滑轮与轴之间的摩擦），在用水平变力F拉物体B沿水平方向向右做匀速直线运动的过程中，下列说法正确的是（ ）,物体A也做匀速直线运动,物体A做匀加速直线运动,绳子对物体A的拉力等于物体A的重力,绳子对物体A的拉力大于物体A的重力,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a3eb5d843b06de065b38437eac8b_13309434ex.png,e065b38437eac8b_13309434ex.png,,,,,
某质点在恒力F作用下从A点沿图4所示曲线运动到B点，到达B点后，质点受到的力大小不变，但方向恰与F相反，则它从B点开始的运动轨迹可能是图中的哪条曲线 （ ）,曲线a,曲线,曲线c,以上三条曲线都不可能,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a8bd7869d20209389355503d9ca8_1022341ex.png,09389355503d9ca8_1022341ex.png,,,,,
小明同学遥控小船做过河实验，并绘制了四幅小船过河的航线图．图中实线为河岸，河水的流动速度不变，方向如图水平向右，虚线为小船从河岸M驶向对岸N的实际航线，小船相对于静水的速度不变．则（ ）,航线图甲是正确的，船头保持图中的方向，小船过河时间最短,航线图乙是正确的，船头保持图中的方向，小船过河时间最短,航线图丙是正确的，船头保持图中的方向，小船过河位移最短,航线图丁不正确的，如果船头保持图中的方向，船的轨迹应该是曲线,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3939586d8ab00ae9f05231455529_3487033ex.png,0ae9f05231455529_3487033ex.png,,,,,
设有一冰球以匀速v0沿直线运动在光滑无摩擦的水平平面上从a点运动到b点，忽略空气阻力．图为俯视图．当冰球运动到b点时受到图示中黑箭头方向的快速一击．这之后冰球有可能沿如下哪一条轨迹运动？（ ）,img alt="" height="84" src="/files/attach/files/content/2020/0324/46e53e2103d61d015e4b74c13315b705.png" v:shapes="_x0000_i1119" width="66",img alt="" height="64" src="/files/attach/files/content/2020/0324/54dea253de6f1f268c8ae93fcbc36bf0.png" v:shapes="_x0000_i1118" width="100",img alt="" height="62" src="/files/attach/files/content/2020/0324/19d3274592a94c97ff04c171e76f649c.png" v:shapes="_x0000_i1117" width="116",img alt="" height="74" src="/files/attach/files/content/2020/0324/4f467f160182cfd45e6a6dadf6b4d73b.png" v:shapes="_x0000_i1116" width="103",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/96a3bf633df8111db80660a4d91e_5919955ex.png,111db80660a4d91e_5919955ex.png,,,,,
某人从码头坐船到河止对岸的码头，此时河水流速较大，航行时他发观艄公为了将他送到正对岸，船头并不垂直于河岸，而是略朝向上游，请问艄公这样做的主要目的是什么（ ）,为了多绕点路看风景,为了节省体力,为了节省时间,为了船的路程最小,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/04d9e9c874acaeef75eaaa061db7_5919299ex.png,aeef75eaaa061db7_5919299ex.png,,,,,
下列关于力和运动的说法中正确的是（ ）,物体在恒力作用下不可能做曲线运动,物体在变力作用下可能做曲线运动,物体在变力作用下不可能做直线运动,物体的受力方向与它的速度方向不在同一条直线上时，有可能做直线运动,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/2a16ef383248c96636568083cd68_1022333ex.png,c96636568083cd68_1022333ex.png,,,,,
关于物体做曲线运动的条件，以下说法中正确的是（ ）,初速度不为零的质点，受到与初速度的方向不在同一条直线上的外力作用,质点受到外力作用,质点加速度的方向必须发生变化,质点受到的外力与加速度不在一条直线上,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/14e74c828eb7420e770918cda6a6_1023765ex.png,420e770918cda6a6_1023765ex.png,,,,,
如图所示，船从A处开出后沿直线AB到达对岸，若AB与河岸成37°角，水流速度为4m/s  ， 则船从A点开出的最小速度为（　　）,2<span>m/s</span,2．4<span>m/s</span,3<span>m/s</span,3．5<span>m/s</span,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3c2bac5e5f29c8c23d91c6666940_1345972ex.png,c8c23d91c6666940_1345972ex.png,,,,,
如图所示，一辆行驶的汽车将一重物A提起，若要使重物A匀速上升，则在此过程中，汽车的运动情况是（ ）,加速运动,减速运动,匀速运动,不能确定,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/972c2cd3f078a1911b0a736bb07b_4553578ex.png,a1911b0a736bb07b_4553578ex.png,,,,,
关于曲线运动，下列说法正确的是（　　）,匀速圆周运动的物体所受的向心力一定指向圆心，非匀速圆周运动的物体所受的向心力可能不指向圆心,做曲线运动的物体，速度也可以保持不变,只要物体做圆周运动，它所受的合外力一定指向圆心,做匀变速曲线运动的物体，相等时间内速度的变化量一定相同,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bed39da6c3e637aa5090181e8424_7865001ex.png,37aa5090181e8424_7865001ex.png,,,,,
如图所示，有两条位于同一竖直平面内的水平轨道，轨道上有两个物体A和B，它们通过一根绕过定滑轮O的不可伸长的轻绳相连接，物体A以速率  =10m/s匀速运动，在绳与轨道成30°角时，物体B的速度大小  为（ ）,5m/s,img src="/files/attach/files/content/2020/0324/1585043082.728.png"> m/s</img,20 m/s,img src="/files/attach/files/content/2020/0324/1585043082.953.png"/> m/s,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/339bce8e1e03b3ed8bf252bcd943_11618192ex.png,3ed8bf252bcd943_11618192ex.png,,,,,
如图，人沿平直的河岸以速度v行走，且通过不可伸长的绳拖船，船沿绳的方向行进，此过程中绳始终与水面平行．当绳与河岸的夹角为α，船的速率为（ ）,vsinα,img src="/files/attach/files/content/2020/0324/1585043090.544.png",vcosα,img src="/files/attach/files/content/2020/0324/1585043091.345.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6e5bc3c012aeec4da0483271edac_6322583ex.png,ec4da0483271edac_6322583ex.png,,,,,
如图所示，汽车在岸上用轻绳拉船，若汽车行进速度为v，拉船的绳与水平方向夹角为  ，则船速度为（ ）,img src="/files/attach/files/content/2020/0324/1585043066.727.png",img src="/files/attach/files/content/2020/0324/1585043067.492.png",img src="/files/attach/files/content/2020/0324/1585043067.721.png",img src="/files/attach/files/content/2020/0324/1585043068.498.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/90b1a760da8392c104f1292fd93d_11735254ex.png,2c104f1292fd93d_11735254ex.png,,,,,
已知河水自西向东流动，流速为v1  ， 小船在静水中的速度为v2  ， 且v2＞v1  ， 用小箭头表示船头的指向及小船在不同时刻的位置，虚线表示小船过河的路径，则下图中可能的是（ ）,①③,②③,③④,①④,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/831c0a4ac62e94eb3ef38b411147_4085945ex.png,94eb3ef38b411147_4085945ex.png,,,,,
人用绳子通过定滑轮拉物体A，A穿在光滑的竖直杆上，当以速度v0匀速地拉绳使物体A到达如图所示位置时，绳与竖直杆的夹角为θ  ， 则物体A实际运动的速度是(　 　),v<sub>0</sub>sin θ,v<sub>0</sub>/cosθ,v<sub>0</sub>/sinθ,v<sub>0</sub>cos θ,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6c37f623f2deb1cf18ea24563c85_8204525ex.png,b1cf18ea24563c85_8204525ex.png,,,,,
某船在静水中航行的速率恒定，现该船在一条水流速度一定的河里渡河，下列说法正确的是（　　）,船身垂直河岸向对岸航行，实际航线最短,船身垂直河岸向对岸航行，航行时间最短,船头朝向上游，调整船身与河岸的夹角，一定可以垂直过河,船头朝向上游，使船与河岸成某一夹角航行时，有可能使航行时间最短,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/364420756c1b6a89e870c51f9caa_4508529ex.png,6a89e870c51f9caa_4508529ex.png,,,,,
如图所示，轻质不可伸长的细绳，绕过光滑定滑轮C，与质量为m的物体A连接，A放在倾角为θ的光滑斜面上，绳的另一端和套在固定竖直杆上的物体B连接．现BC连线恰沿水平方向，从当前位置开始B以速度v0匀速下滑．设绳子的张力为T，在此后的运动过程中，下列说法正确的是（ ）,物体A做加速运动,物体A做匀速运动,T可能小于mgsinθ,T等于mgsinθ,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/63875e0e4367d4b7c2bd46562ec8_3556440ex.png,d4b7c2bd46562ec8_3556440ex.png,,,,,
如图所示，人在岸上用轻绳拉船，若人匀速行进，则船将做（ ）,匀速运动,匀加速运动,变加速运动,减速运动,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b2ce68eb75925af7bb265d3667db_4554234ex.png,5af7bb265d3667db_4554234ex.png,,,,,
如图所示，红蜡块可以在竖直玻璃管内的水中匀速上升，若在红蜡块从A点开始匀速上升的同时，玻璃管从AB位置水平向右做匀减速直线运动，则红蜡块的实际运动轨迹可能是图中的（ ）,直线P,曲线Q,曲线R,三条轨迹都有可能,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7d367f1b237a3f747d185b430bdf_5068491ex.png,3f747d185b430bdf_5068491ex.png,,,,,
竖直放置两端封闭的玻璃管内注满清水和一个用红蜡做成的圆柱体，玻璃管倒置时圆柱体能匀速运动，已知圆柱体运动的速度大小为5cm/s，与水平方向成θ=53°，如图所示，则玻璃管水平方向运动的速度为（sin53°=0.8，cos53°=0.6）（ ）,5cm/s,4cm/s,3cm/s,无法确定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f1e78b6ed34de6f7c550c7273da7_4992684ex.png,e6f7c550c7273da7_4992684ex.png,,,,,
在杂技表演中，猴子沿竖直杆向上做初速度为零、加速度为a的匀加速运动，同时人顶着直杆以速度v0水平向右匀速移动，经过时间t，猴子沿杆向上移动的高度为h，人顶杆沿水平地面移动的距离为x，如图所示，关于猴子的运动情况，下列说法中正确的是（ ）,相对地面的运动轨迹为直线,相对地面做变加速曲线运动,t时刻猴子对地速度的大小为v<sub>0</sub>+at,t时间内猴子对地的位移大小为 <img src="/files/attach/files/content/2020/0324/1585043046.310.png",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5b73f929b17b5439f826ee30820e_4425879ex.png,5439f826ee30820e_4425879ex.png,,,,,
船在静水中的速度是  ， 河岸笔直，河宽恒定，河水流速为  ， 以下说法正确的是（　　）,因船速小于流速，船不能到达对岸,船不能沿直线过河,船可以垂直过河,船过河的最短时间是一定的,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/75c6ee50b11997f62d5f3a8f69a0_1345970ex.png,97f62d5f3a8f69a0_1345970ex.png,,,,,
小船横渡一条河，船本身提供的速度大小方向都不变，已知小船的运动轨迹如图所示，则河水的流速（）,越接近B岸水速越大,越接近B岸水速越小,由A到B水速先增后减,水流速度恒定,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4ee58734cfcff3b6c74c0ff8ab3e_1011189ex.png,f3b6c74c0ff8ab3e_1011189ex.png,,,,,
如图所示，有一竖直放置的“T”形架，表面光滑，滑块A、B分别套在水平杆与竖直杆上，A、B用一不可伸长的轻细绳相连，A、B质量相等，且可看作质点，开始时细绳水平伸直，A、B静止．由静止释放B后，已知当滑块B沿着竖直杆下滑的速度大小为  ，A的速度大小为v，则细绳与竖直方向的夹角为  为（ ）,60°,30°,45°,无法确定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f72894c1c3dbb07d6c6379675676_12071340ex.png,07d6c6379675676_12071340ex.png,,,,,
一汽船载客渡河，若其在静水中的速度一定，河水的流速也不变，且v船 > v水  ， 则：（ ）,使船身方向垂直于河岸，渡河路程最短,使船身方向垂直于河岸，渡河最省时,船沿垂直于河岸的路线到达对岸，渡河最省时,不管船向什么方向行驶，船都无法垂直到达正对岸,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b1649fbdd894f641a739bd42af2c_12036668ex.png,641a739bd42af2c_12036668ex.png,,,,,
关于运动的合成和分解，下列说法正确的是,合运动的时间等于两个分运动的时间之和,匀变速运动的轨迹可以是直线，也可以是曲线,曲线运动的加速度方向可能与速度在同一直线上,分运动是直线运动，则合运动必是直线运动,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/61d38f164aa9fb131b28f78fa11e_1021578ex.png,fb131b28f78fa11e_1021578ex.png,,,,,
如图所示，在水平地面上做匀速直线运动的汽车，通过定滑轮用绳子吊起一个物体，若汽 车和被吊物体在同一时刻的速度分别为v1和v2  ， 则下面说法正确的是（　　）,物体做匀速运动，且v<sub>2</sub>=v<sub>1</sub,物体做加速运动，且v<sub>2</sub>＞v<sub>1</sub,物体做加速运动，且v<sub>2</sub>＜v<sub>1</sub,物体做减速运动，且v<sub>2</sub>＜v<sub>1</sub,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/85af85c176b5bddbe988fca656f5_4511069ex.png,bddbe988fca656f5_4511069ex.png,,,,,
如图所示，绳子跨接在定滑轮上把物块A和小车连接起来，在不计摩擦和绳子质量的条件下，当小车沿水平方向向右匀速运动时，下列说法中正确的是（ ）,绳的拉力大于物体A的重力,绳的拉力等于物体A的重力,绳的拉力小于物体A的重力,绳的拉力先大于A的重力，后变为小于A的重力,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/714fec1b18fbd8611a9c74481523_4934190ex.png,d8611a9c74481523_4934190ex.png,,,,,
地面观察者看到雨竖直下落时，坐在匀速前进的列车车厢中的乘客看到的雨滴是( ),向前运动,向后运动,倾斜落向前下方,倾斜落向后下方,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c17539ae68b02d584e4f24022500_14613233ex.png,d584e4f24022500_14613233ex.png,,,,,
（选做题A）某人以一定的速率垂直河岸将船向对岸划去，当水流匀速时，关于它过河所需时间、发生的位移与水速的关系是（ ）,水速小时，时间短，位移小,水速大时，时间长，位移大,水速大时，时间不变，位移大,位移，时间与水速无关,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a8461ad3af00a3a34faefdd88637_3495351ex.png,a3a34faefdd88637_3495351ex.png,,,,,
一条船的船头垂直于河岸，当船行驶到河中心时，河水流速突然增大，下列说法错误的是（ ）,渡河路程变短,渡河时间不变,到达对岸时的速度增大,渡河通过的路程比位移的大小要大,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/78577bb572c4cc9c41a4201131d8_4933388ex.png,cc9c41a4201131d8_4933388ex.png,,,,,
一艘小船在100m宽的河中横渡到对岸，已知水流速度是3m/s，小船在静水中的速度是4m/s，欲使渡河时间最短，渡河位移和渡河最短时间是分别是（ ）,100m、20s,125m、20s,100m、25s,125m、25s,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/685abf30eb958e3bd3b240b7e5d0_3926802ex.png,8e3bd3b240b7e5d0_3926802ex.png,,,,,
如图所示，重物M沿竖直杆下滑，并通过平行于斜面的细绳带动小车沿斜面升高．当滑轮右侧的绳与竖直方向成θ角且重物下滑的速率为v时，小车的速度为（ ）,img src="/files/attach/files/content/2020/0324/1585042987.496.png",img src="/files/attach/files/content/2020/0324/1585042988.272.png",img src="/files/attach/files/content/2020/0324/1585042989.696.png",img src="/files/attach/files/content/2020/0324/1585042990.408.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ed0caccf3a9a695f4c5fe96de79e_8298770ex.png,695f4c5fe96de79e_8298770ex.png,,,,,
竖直放置两端封闭的玻璃管内注满清水和一个用红蜡做成的圆柱体，玻璃管倒置时圆柱体能匀速运动。已知圆柱体运动的速度大小为5cm/s，与水平方向成q=53°，如图所示，则玻璃管水平方向运动的速度为（sin53°=0.8、 cos53°=0.6） （ ）,5cm/s,4cm/s,3cm/s,无法确定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9e8931bd67436dc5d129af5ae14f_8205111ex.png,6dc5d129af5ae14f_8205111ex.png,,,,,
游泳运动员以恒定的速率垂直河岸横渡，当水速突然增大时，对运动员横渡经历的路程、时间发生的影响是（ ）,路程增加、时间增加,路程增加、时间缩短,路程增加、时间不变,路程、时间均与水速无关,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/37773dae9e2b01f7e52c2d472b90_4992170ex.png,01f7e52c2d472b90_4992170ex.png,,,,,
一艘轮船以一定的静水船速、船头垂直河岸向对岸行驶，河水匀速流动（河道是直的），如图所示，轮船渡河通过的路程和所用时间与水流速度的关系是（ ）,静水船速越大，则路程越长，所用时间也越长,静水船速越大，则路程越长，所用时间不变,水流速度越大，则路程越长，所用时间不变,水流速度越大，路程和时间均不变,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9a45c63fbf6f076494344f2b0eeb_8173515ex.png,076494344f2b0eeb_8173515ex.png,,,,,
对于两个分运动，下列说法正确的是（ ）,合运动的速度一定大于两个分运动的速度,合运动的速度一定大于其中一个分运动的速度,合运动的方向就是物体实际运动的方向,仅由两分速度的大小就可确定合速度的大小,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/51f0a4fd8274c64406e9283014bf_4127093ex.png,c64406e9283014bf_4127093ex.png,,,,,
如图所示，物体A以速度v沿杆匀速下滑，A用轻质细绳通过摩擦不计的定滑轮拉光滑水平面上的物体B，当绳与竖直方向夹角为θ时，B的速度为（ ）,vcosθ,vsinθ,img src="/files/attach/files/content/2020/0324/1585042989.583.png",img src="/files/attach/files/content/2020/0324/1585042990.446.png",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a6eee39e0f9d8a60c3fdb1ffd2c7_4932904ex.png,8a60c3fdb1ffd2c7_4932904ex.png,,,,,
﹣小船在静水中的速度为5m/s，它在一条河宽150m、水流速度为3m/s的河流中渡河，则该小船（ ）,不能到达正对岸,渡河的时间可能少于30s,以最短位移渡河时，船头与上游河岸所成的夹角为53°,以最短时间渡河时，它沿水流方向的位移大小为112.5m,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/800054b2ea0c8981758963ad9496_5566247ex.png,8981758963ad9496_5566247ex.png,,,,,
如图所示，做匀速直线运动的汽车A通过一根绕过定滑轮的长绳吊起一重物B，设重物和汽车的速度的大小分别为vB、vA  ， 则（ ）,v<sub>A</sub>=v<sub>B</sub,v<sub>A</sub>＜v<sub>B</sub,v<sub>A</sub>＞v<sub>B</sub,重物B的速度逐渐减小,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0b10abbb67ffb68e7a7f0bd8d54f_4553636ex.png,b68e7a7f0bd8d54f_4553636ex.png,,,,,
如图所示，某人游长江，他以一定速度，面部始终垂直河岸向对岸游去  江中各处水流速度相等  他游过的路程、过河所用的时间与水速的关系是,水速大时，路程长，时间长,水速大时，路程长，时间短,水速大时，路程长，时间不变,路程、时间与水速无关,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f9be254300c4877ba6266081c476_10027046ex.png,77ba6266081c476_10027046ex.png,,,,,
如图所示，一根长为 L 的轻杆 OA，O 端用铰链固定，轻杆靠在一个高为 h 的物块上，某时杆 与水平方向的夹角为θ，物块向右运动的速度 v，则此时A点速度为（ ）,img src="/files/attach/files/content/2020/0324/1585042958.479.png",img src="/files/attach/files/content/2020/0324/1585042958.684.png",img src="/files/attach/files/content/2020/0324/1585042959.385.png",img src="/files/attach/files/content/2020/0324/1585042959.595.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f3396f567bc8f6726dee2ffdcf09_8254429ex.png,f6726dee2ffdcf09_8254429ex.png,,,,,
关于运动的合成，下列说法中正确的是（ ）,合运动的速度一定比每一个分运动的速度大,两个直线运动的合运动一定是直线运动,两个分运动的时间一定与合运动时间相等,两个初速度不为零的互成角度的匀加速直线运动的合成一定是曲线运动,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b113e4912dabdcd150ae2db947d3_4126983ex.png,dcd150ae2db947d3_4126983ex.png,,,,,
如图1是书本上演示小蜡块运动规律的装置．在蜡块沿玻璃管（y方向）上升的同时，将玻璃管紧贴着黑板沿水平方向（x方向）向右运动，得到了蜡块相对于黑板（xoy平面）运动的轨迹图（图2）．则蜡块沿玻璃管的上升运动与玻璃管沿水平方向的运动，可能的形式是（ ）,小蜡块沿玻璃管做匀加速直线运动，玻璃管沿水平方向做匀加速直线运动,小蜡块沿玻璃管做匀加速直线运动，玻璃管沿水平方向做匀速直线运动,小蜡块沿玻璃管做匀速直线运动，玻璃管沿水平方向先加速后减速,小蜡块沿玻璃管做匀速直线运动，玻璃管沿水平方向先减速后加速,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/32165da385a7b6b518dc2f723290_4932902ex.png,b6b518dc2f723290_4932902ex.png,,,,,
江中某轮渡站两岸的码头A和B正对，如图所示，水流速度恒定且小于船速，若要使渡船直线往返于两码头之间，则船在航行时应（）,往返时均使船垂直河岸航行,往返时均使船头适当偏向上游一侧,往返时均使船头适当偏向下游一侧,从A码头驶往B码头，应使船头适当偏向上游一侧，返回时应使船头适当偏向下游一侧,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ff0a12462f19bb1cb0cc44368028_1023747ex.png,bb1cb0cc44368028_1023747ex.png,,,,,
如图所示，红蜡块能在玻璃管的水中匀速上升，若红蜡块在 A点匀速上升的同时，使玻璃管水平向右作匀加速直线运动，则红蜡块实际运动的轨迹是图中的 （ ）,曲线<i>Q</i,直线<i>p</i,曲线<i>R</i,无法确定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ca4857aab07e14393007c202049c_1012648ex.png,14393007c202049c_1012648ex.png,,,,,
如图所示，一根长直轻杆AB在墙角沿竖直墙和水平地面滑动．当AB杆和墙的夹角为θ时，杆的A端沿墙下滑的速度大小为v1  ， B端沿地面滑动的速度大小为v2  ， 则v1、v2的关系是（ ）,v<sub>1</sub>=v<sub>2</sub,v<sub>1</sub>=v<sub>2</sub>cosθ,v<sub>1</sub>=v<sub>2</sub>tanθ,v<sub>1</sub>=v<sub>2</sub>sinθ,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cf30c7e9307fd49200956dbc80ff_3540764ex.png,d49200956dbc80ff_3540764ex.png,,,,,
如图所示，红蜡块能在玻璃管内的水中匀加速上升，若红蜡块在从A点匀加速上升的同时，玻璃管水平向右做匀速直线运动，则红蜡块实际运动的轨迹是图中的 ( ),直线P,曲线Q,曲线R,无法确定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/72513e1e684df0a6a227d6c1d887_6850791ex.png,f0a6a227d6c1d887_6850791ex.png,,,,,
以下几种带电体所带的电量不可能的是（ ）,6.4×10<sup>﹣</sup><sup>19</sup>C,9.6×10<sup>﹣</sup><sup>19</sup>C,4.0×10<sup>﹣</sup><sup>20</sup>C,1.92×10<sup>﹣</sup><sup>18</sup>C,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b9e05c2e7e5b91add98e46cd0437_3068134ex.png,91add98e46cd0437_3068134ex.png,,,,,
小明用丝绸摩擦玻璃棒，然后再用玻璃棒接触不带电的验电器的金属小球，发现验电器的金属杆下面的箔片张开，则下列说法中正确的有（　　）,丝绸与玻璃棒摩擦使玻璃棒凭空产生了电荷,摩擦后的玻璃棒不带电荷,玻璃棒可能带3.04×10<sup>﹣18</sup>C的正电荷,玻璃棒可能带4.0×10<sup>﹣19</sup>C的正电荷,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/19233f4311b96d004dc069206332_4446297ex.png,6d004dc069206332_4446297ex.png,,,,,
对物体带电现象的叙述，正确的是（ ）,不带电的物体一定没有电荷,摩擦起电过程本质上是电荷从一个物体转移到另一个物体的过程,一根带电的导体棒放在潮湿的房间，发现导体棒不带电了，这过程中电荷不守恒,物体的带电荷量可以是任意值,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8ced3fcc61f5e58dc229d8e7fe0e_3170659ex.png,e58dc229d8e7fe0e_3170659ex.png,,,,,
科学家在研究原子、原子核及基本粒子时，为了方便，常常用元电荷作为电量的单位，关于元电荷，下列论述中不正确的是（ ）,把质子或电子叫元电荷,1.6×10<sup>﹣19</sup>C的电量叫元电荷,电子带有最小的负电荷，其电量的绝对值叫元电荷,质子带有最小的正电荷，其电量的绝对值叫元电荷,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f4239722e6690639a42c0859e1de_3192472ex.png,0639a42c0859e1de_3192472ex.png,,,,,
用一根跟毛皮摩擦过的硬橡胶棒，靠近不带电验电器的金属小球a，然后用手指瞬间接触一下金属杆a后拿开橡胶棒，这时验电器小球a和金箔b的带电情况是（　　）,a带正电，b带负电,a带负电，b带正电,a、b均带正电,a、b均不带电,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/870a5257d2116fe98701d9b4dd47_4446327ex.png,6fe98701d9b4dd47_4446327ex.png,,,,,
